interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,supply,stand_alone_batteries,hybrid_batteries
2025-04-01T05:00:00-07:00,2025-04-01 12:00:00+00:00,2025-04-01T05:05:00-07:00,2025-04-01 12:05:00+00:00,926,853,68
2025-04-01T05:05:00-07:00,2025-04-01 12:05:00+00:00,2025-04-01T05:10:00-07:00,2025-04-01 12:10:00+00:00,814,724,128
2025-04-01T05:10:00-07:00,2025-04-01 12:10:00+00:00,2025-04-01T05:15:00-07:00,2025-04-01 12:15:00+00:00,1350,1150,142
2025-04-01T05:15:00-07:00,2025-04-01 12:15:00+00:00,2025-04-01T05:20:00-07:00,2025-04-01 12:20:00+00:00,1430,502,142
2025-04-01T05:20:00-07:00,2025-04-01 12:20:00+00:00,2025-04-01T05:25:00-07:00,2025-04-01 12:25:00+00:00,1495,1348,142
2025-04-01T05:25:00-07:00,2025-04-01 12:25:00+00:00,2025-04-01T05:30:00-07:00,2025-04-01 12:30:00+00:00,1346,1195,142
2025-04-01T05:30:00-07:00,2025-04-01 12:30:00+00:00,2025-04-01T05:35:00-07:00,2025-04-01 12:35:00+00:00,1417,1284,142
2025-04-01T05:35:00-07:00,2025-04-01 12:35:00+00:00,2025-04-01T05:40:00-07:00,2025-04-01 12:40:00+00:00,1463,502,142
2025-04-01T05:40:00-07:00,2025-04-01 12:40:00+00:00,2025-04-01T05:45:00-07:00,2025-04-01 12:45:00+00:00,1592,1464,142
2025-04-01T05:45:00-07:00,2025-04-01 12:45:00+00:00,2025-04-01T05:50:00-07:00,2025-04-01 12:50:00+00:00,1697,1551,144
2025-04-01T05:50:00-07:00,2025-04-01 12:50:00+00:00,2025-04-01T05:55:00-07:00,2025-04-01 12:55:00+00:00,1599,502,170
2025-04-01T05:55:00-07:00,2025-04-01 12:55:00+00:00,2025-04-01T06:00:00-07:00,2025-04-01 13:00:00+00:00,1721,502,176
2025-04-01T06:00:00-07:00,2025-04-01 13:00:00+00:00,2025-04-01T06:05:00-07:00,2025-04-01 13:05:00+00:00,2199,2039,212
2025-04-01T06:05:00-07:00,2025-04-01 13:05:00+00:00,2025-04-01T06:10:00-07:00,2025-04-01 13:10:00+00:00,2866,2270,418
2025-04-01T06:10:00-07:00,2025-04-01 13:10:00+00:00,2025-04-01T06:15:00-07:00,2025-04-01 13:15:00+00:00,3080,502,443
2025-04-01T06:15:00-07:00,2025-04-01 13:15:00+00:00,2025-04-01T06:20:00-07:00,2025-04-01 13:20:00+00:00,3388,2991,472
2025-04-01T06:20:00-07:00,2025-04-01 13:20:00+00:00,2025-04-01T06:25:00-07:00,2025-04-01 13:25:00+00:00,3844,3339,541
2025-04-01T06:25:00-07:00,2025-04-01 13:25:00+00:00,2025-04-01T06:30:00-07:00,2025-04-01 13:30:00+00:00,3534,2937,568
2025-04-01T06:30:00-07:00,2025-04-01 13:30:00+00:00,2025-04-01T06:35:00-07:00,2025-04-01 13:35:00+00:00,3372,2795,574
2025-04-01T06:35:00-07:00,2025-04-01 13:35:00+00:00,2025-04-01T06:40:00-07:00,2025-04-01 13:40:00+00:00,3322,2746,574
2025-04-01T06:40:00-07:00,2025-04-01 13:40:00+00:00,2025-04-01T06:45:00-07:00,2025-04-01 13:45:00+00:00,3311,502,534
2025-04-01T06:45:00-07:00,2025-04-01 13:45:00+00:00,2025-04-01T06:50:00-07:00,2025-04-01 13:50:00+00:00,3283,2776,513
2025-04-01T06:50:00-07:00,2025-04-01 13:50:00+00:00,2025-04-01T06:55:00-07:00,2025-04-01 13:55:00+00:00,3332,2873,443
2025-04-01T06:55:00-07:00,2025-04-01 13:55:00+00:00,2025-04-01T07:00:00-07:00,2025-04-01 14:00:00+00:00,3129,2756,358
2025-04-01T07:00:00-07:00,2025-04-01 14:00:00+00:00,2025-04-01T07:05:00-07:00,2025-04-01 14:05:00+00:00,2817,2564,334
2025-04-01T07:05:00-07:00,2025-04-01 14:05:00+00:00,2025-04-01T07:10:00-07:00,2025-04-01 14:10:00+00:00,2808,2562,262
2025-04-01T07:10:00-07:00,2025-04-01 14:10:00+00:00,2025-04-01T07:15:00-07:00,2025-04-01 14:15:00+00:00,2651,2440,70
2025-04-01T07:15:00-07:00,2025-04-01 14:15:00+00:00,2025-04-01T07:20:00-07:00,2025-04-01 14:20:00+00:00,2366,2307,40
2025-04-01T07:20:00-07:00,2025-04-01 14:20:00+00:00,2025-04-01T07:25:00-07:00,2025-04-01 14:25:00+00:00,1767,1942,-20
2025-04-01T07:25:00-07:00,2025-04-01 14:25:00+00:00,2025-04-01T07:30:00-07:00,2025-04-01 14:30:00+00:00,1430,502,-45
2025-04-01T07:30:00-07:00,2025-04-01 14:30:00+00:00,2025-04-01T07:35:00-07:00,2025-04-01 14:35:00+00:00,902,919,-50
2025-04-01T07:35:00-07:00,2025-04-01 14:35:00+00:00,2025-04-01T07:40:00-07:00,2025-04-01 14:40:00+00:00,666,765,-210
2025-04-01T07:40:00-07:00,2025-04-01 14:40:00+00:00,2025-04-01T07:45:00-07:00,2025-04-01 14:45:00+00:00,439,502,-229
2025-04-01T07:45:00-07:00,2025-04-01 14:45:00+00:00,2025-04-01T07:50:00-07:00,2025-04-01 14:50:00+00:00,122,380,-303
2025-04-01T07:50:00-07:00,2025-04-01 14:50:00+00:00,2025-04-01T07:55:00-07:00,2025-04-01 14:55:00+00:00,-238,64,-361
2025-04-01T07:55:00-07:00,2025-04-01 14:55:00+00:00,2025-04-01T08:00:00-07:00,2025-04-01 15:00:00+00:00,-1136,-553,-466
2025-04-01T08:00:00-07:00,2025-04-01 15:00:00+00:00,2025-04-01T08:05:00-07:00,2025-04-01 15:05:00+00:00,-1155,502,-494
2025-04-01T08:05:00-07:00,2025-04-01 15:05:00+00:00,2025-04-01T08:10:00-07:00,2025-04-01 15:10:00+00:00,-1061,-786,-301
2025-04-01T08:10:00-07:00,2025-04-01 15:10:00+00:00,2025-04-01T08:15:00-07:00,2025-04-01 15:15:00+00:00,-1248,-971,-376
2025-04-01T08:15:00-07:00,2025-04-01 15:15:00+00:00,2025-04-01T08:20:00-07:00,2025-04-01 15:20:00+00:00,-1839,-1516,-397
2025-04-01T08:20:00-07:00,2025-04-01 15:20:00+00:00,2025-04-01T08:25:00-07:00,2025-04-01 15:25:00+00:00,-2386,-2000,-448
